Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,208,38517,32652,8428,1586,4626,37,1239,4912,3,5
D:\LocMetrics\generator.project\src,208,38517,32652,8428,1586,4626,37,1239,4912,3,5
D:\LocMetrics\generator.project\src\extensions,24,3133,2429,1058,57,611,5,93,340,0,0
D:\LocMetrics\generator.project\src\myproject,33,2963,2411,1670,370,431,4,121,406,3,5
D:\LocMetrics\generator.project\src\myproject\model,21,1094,867,599,143,207,0,20,73,0,0
D:\LocMetrics\generator.project\src\myproject\modelreader,5,1138,947,669,135,142,3,49,169,0,0
D:\LocMetrics\generator.project\src\myproject\signaturParserJava,3,387,323,236,61,33,0,31,54,0,0
D:\LocMetrics\generator.project\src\myproject\signaturparser,1,101,86,34,2,11,1,4,9,3,5
D:\LocMetrics\generator.project\src\myproject\templatetools,3,243,188,132,29,38,0,17,101,0,0
D:\LocMetrics\generator.project\src\template,43,2872,2123,283,15,421,0,328,941,0,0
D:\LocMetrics\generator.project\src\template\check,1,7,5,0,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client,17,1249,1056,8,0,193,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\check,3,307,272,1,0,35,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples,14,942,784,7,0,158,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump,17,332,260,0,0,72,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\server,7,1270,790,275,15,152,0,328,941,0,0
D:\LocMetrics\generator.project\src\template\server\check,1,205,182,0,0,23,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\server\unittest,6,1065,608,275,15,129,0,328,941,0,0
D:\LocMetrics\generator.project\src\template\statistics,1,14,12,0,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl,106,29253,25480,5307,1124,3127,28,646,2991,0,0
D:\LocMetrics\generator.project\src\tpl\dump,17,332,260,0,0,72,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\model,2,59,51,0,0,8,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject,76,20774,18035,5272,910,2115,27,624,2901,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base,25,2935,2562,729,92,319,2,54,207,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\contracts,13,1681,1495,388,58,182,0,4,19,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\types,12,1254,1067,341,34,137,2,50,188,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\data,10,2323,1953,642,112,258,15,112,412,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\data\core,10,2323,1953,642,112,258,15,112,412,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules,41,15516,13520,3901,706,1538,10,458,2282,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\adapters,4,351,303,82,16,48,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client,24,13418,11740,3530,628,1253,10,425,2167,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\base,3,254,228,0,0,26,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\pls,10,8635,7405,3002,551,837,10,393,1999,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\ps,11,4529,4107,528,77,390,0,32,168,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\contracts,3,138,119,12,0,19,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\services,10,1609,1358,277,62,218,0,33,115,0,0
D:\LocMetrics\generator.project\src\tpl\sql,11,8088,7134,35,214,932,1,22,90,0,0
D:\LocMetrics\generator.project\src\workflow,2,296,209,110,20,36,0,51,234,0,0
D:\LocMetrics\generator.project\src\workflow\utils,1,233,154,110,20,28,0,51,234,0,0
